%SeedNode-ID Local_Cluster_Size
666366 3123711
266689 1507796
656843 1240224
521411 924850
524681 934202
154801 1354770
653894 5735958
108991 5427701
490639 1068804
224409 527148
349652 2104627
348827 529888
125452 1335587
267364 1525734
656213 1091056
266984 433675
365381 615163
75148 3178221
275015 720484
434034 904959
357386 2377133
322143 1654095
85330 1763301
206183 1198187
90834 137020
623366 1269491
121385 150121
592278 2294213
309851 422505
710197 1252754
439324 2958742
149172 1178157
137289 650094
575357 236642
150812 156707
123210 1030632
315486 1738577
160481 640085
201637 725112
240119 584367
148663 209570
125784 871764
556469 1761255
75046 81748
503407 1441430
38314 147101
125091 646425
465395 805759
453314 1661953
83685 85087
482008 502446
502280 1114493
95116 657117
652532 819880
305502 1742241
687310 596519
314298 1071025
664708 1023074
654153 1143496
500568 374953
457617 377343
535173 768532
712189 1146432
692780 1425840
277885 5047137
73194 137020
497300 463047
477886 1799662
400443 100672
66376 1240224
511657 529888
341793 133078
85666 1226060
128404 156411
216692 655691
537707 833111
406947 943170
498719 376446
586961 704573
545177 390996
360691 156411
82328 191810
143630 1148569
683605 1426714
504798 1987490
691318 2466051
436845 1362267
244060 1292583
468832 645479
150384 2781744
173777 502446
690745 1498310
501660 276074
494862 577319
575372 540608
233787 1554863
149236 3514236
435499 343508
296935 1747367
304368 1624372
