%SeedNode-ID Local_Cluster_Size
113969 21406
7124 27321
100717 749
46527 1507
154251 515
156160 7869
144395 21406
69403 4801
140201 27321
29698 27321
110114 6232
168596 11814
118020 6232
48292 22187
137705 21406
142776 5862
79896 4958
164501 22187
105281 4801
168322 2877
162499 2076
132011 21406
141002 4839
167670 21406
41708 7869
142638 4605
164356 6232
114153 11814
89672 21406
97842 22187
119704 2877
107582 21406
48517 22187
67628 27321
57186 7869
74920 2877
58359 5862
78921 11814
166487 27321
21850 22187
66986 4801
83024 22187
121393 22187
7571 22187
52330 4605
167973 22187
146783 27321
102179 21406
127981 2358
166402 21406
147891 5862
80848 565
40599 7867
85666 7867
136439 4839
53952 597
122858 11814
48100 21406
36448 27321
61714 22187
137406 22187
120722 1257
68730 22187
892 4605
17727 27321
141639 27321
22830 11814
93272 27321
110890 7867
46633 2029
75180 2828
76098 4839
129196 4605
128176 22187
14208 27321
14378 22187
23025 2369
133937 21406
51069 2029
164171 2029
60261 7867
25196 1507
74846 7867
82934 21406
59269 27321
141505 22187
142341 2877
96406 21406
25118 7869
163824 2076
163998 22187
31931 21406
69697 22187
165949 5862
56207 2877
8064 27321
71654 2358
168189 4839
30118 21406
5036 27321
