%SeedNode-ID Local_Cluster_Size
152189 21406
46586 6232
146375 27321
162458 21406
5720 2080
66760 1618
80287 4958
10592 2029
121610 27321
92460 11814
101708 1618
118730 21406
98608 22187
8726 7869
164602 4958
107105 22187
27820 589
21515 7867
123754 22187
38469 7869
49076 21406
122826 22187
133678 6232
129181 5862
99165 4958
61627 27321
45747 2877
81754 22187
26895 27321
58581 5862
103198 1903
42304 11814
31689 2358
16640 7867
125512 5862
108831 27321
145078 22187
9795 2820
76985 4839
120087 2820
41037 21406
124120 22187
17867 4801
107433 3524
12218 7869
29849 5862
27642 6232
159030 2358
131623 6232
129295 27321
143074 6232
116179 21406
8 2080
128823 27321
9517 27321
22283 4839
12480 27321
99802 2358
134047 11814
4447 2834
95753 22187
125890 21406
109932 2358
141399 11814
82366 22187
41625 7869
49410 27321
128606 1507
16047 21406
104792 22187
91082 21406
81854 3524
23663 11814
50973 2358
149481 4801
30854 3524
23137 27321
126629 6232
69429 2828
116645 22187
98702 27321
63883 11814
99317 2029
5141 21406
14369 687
161187 21406
133976 6232
80140 1271
67353 27321
152609 2877
119563 6232
143894 4958
162492 7869
146021 11814
53469 22187
89806 6232
110230 2834
17639 4839
18522 7869
51785 21406
