%SeedNode-ID Local_Cluster_Size
2416 426
1792 351
2223 818
1053 351
2624 418
2337 818
314 180
12 426
594 298
371 426
547 818
1747 426
1298 818
1375 426
1146 818
123 818
1921 418
1879 818
560 351
1654 426
2060 298
1728 418
987 426
1868 426
944 426
2222 217
2189 180
425 217
39 217
2629 217
338 818
787 426
2184 298
318 298
2703 418
2198 351
1299 418
1274 418
248 426
1652 818
2024 818
1221 418
2094 426
473 217
1477 818
1300 818
2516 418
79 351
1 180
2595 818
452 426
1097 426
1533 418
2544 298
1190 818
897 426
1201 426
362 818
1914 818
2074 298
2036 351
2407 418
2577 426
2351 818
2224 818
1512 426
1757 426
1090 818
2478 418
2404 426
533 426
2088 426
2253 180
1067 818
766 818
370 217
2615 818
2137 298
1876 426
1513 298
1453 298
2211 418
72 818
948 818
556 351
1017 818
623 426
1811 818
567 217
1498 298
776 426
851 426
1236 351
2443 426
1856 426
863 818
2654 426
845 818
129 418
2129 818
