%SeedNode-ID Local_Cluster_Size
1254 818
2112 818
2686 818
1308 426
154 818
2573 426
1287 426
1066 818
2197 351
1240 426
2221 426
1669 351
1755 818
1058 818
1536 418
832 818
2559 426
2377 426
2655 217
1886 818
2600 418
1272 818
2350 351
539 298
2487 351
1040 298
1964 351
1933 426
1956 180
1817 818
1409 418
2599 818
1032 351
937 298
284 298
1491 351
980 818
1303 418
1147 426
1803 426
1551 818
1447 217
9 351
1703 217
1750 180
2330 418
521 180
1477 818
538 418
1623 818
1541 418
1289 818
1107 298
2527 180
174 818
31 818
1175 418
2394 818
2660 426
1505 351
246 426
1090 818
2529 426
308 351
2568 298
1351 418
98 351
653 217
329 418
2476 351
841 426
1013 426
2372 298
2049 818
2602 180
1004 351
423 426
1776 180
684 426
298 217
12 426
1059 818
1804 298
100 418
2504 418
736 818
1230 418
1521 351
996 426
1985 418
1876 426
1333 418
2028 351
261 818
2078 426
915 426
738 217
1826 418
545 818
1751 818
