%SeedNode-ID Local_Cluster_Size
629342 668950
1799173 110796
1217524 116043
1700249 172199
2003129 668950
1390456 158771
2210247 32937
2016229 668950
66605 668950
1431754 131886
211914 668950
1038728 83594
46451 116043
1306163 668950
2384042 668950
146330 114294
1671032 668950
1838939 110796
2093512 83594
2366109 131886
1885308 668950
1277926 668950
101374 80795
122995 668950
2067494 172199
2291371 668950
2278836 52345
2030159 83594
637221 110796
2246719 668950
2364983 101541
2365594 668950
1398197 131886
2286720 131886
2272552 109832
2279120 151061
1821318 52345
1350426 83594
2091789 668950
722798 668950
1271480 67358
1704001 158771
667988 172199
751446 151061
2259512 80795
2340882 42337
225494 116043
1913934 83594
934222 172199
1922155 131886
229354 158771
1491379 668950
1630385 114294
659272 668950
949333 668950
885383 67358
821553 110796
1741588 668950
917977 151061
701108 32937
298068 668950
1624057 52345
105962 114294
2373377 110796
1632729 668950
2011472 109832
817996 116043
2431726 668950
1097392 116043
810444 668950
1791082 131886
449426 131886
1101715 114294
1763543 67358
1082930 42337
47294 42337
911429 3079
2405520 109832
2219555 158771
2154460 131886
1048305 668950
1582216 668950
393183 52345
937708 668950
12170 101541
667429 668950
1093071 668950
2318319 158771
884188 109832
2046289 80795
1783751 158771
447026 101541
1196618 668950
742303 172199
300704 32500
443028 1969
153953 114294
1181618 158771
835693 42337
1852979 42337
