%SeedNode-ID Local_Cluster_Size
17017 7739
9445 7739
2026 4103
17949 7739
3428 7875
14346 7875
17463 7875
6769 7739
15978 7875
14870 7875
9512 7875
17288 7739
6682 7739
19319 4103
13693 7875
16337 7875
13793 7875
1870 7739
3572 7739
4469 4103
11822 7875
5681 7739
970 7739
8463 7875
10691 4103
1439 7875
18103 7875
11994 4103
3969 7739
3370 7739
13499 7739
6382 7875
2691 7739
18652 4103
10843 4103
8283 4103
10947 7875
16651 7739
15032 7875
6378 7875
1469 7875
7147 4103
14893 7875
12832 4103
721 7739
15652 7875
9605 7739
10079 7875
16548 7875
6780 7739
1826 7739
18019 7875
18785 7875
12916 4103
4738 7739
515 7875
17622 4103
2763 7739
7144 4103
12377 7875
14342 4103
17902 7739
15735 7739
7667 7739
15333 7875
12529 7739
17073 7739
17917 7739
11777 7739
13207 4103
799 4103
12514 4103
97 4103
388 7875
15621 7739
14696 7739
18467 7875
2569 7739
14085 7739
11433 4103
12847 7875
10501 7875
18496 7875
7303 7875
12844 7875
11599 7739
8943 4103
14875 7875
18393 7739
8950 7739
6863 4103
1397 7875
10083 7875
15249 4103
7266 7875
11203 7875
10505 7875
6074 7875
8984 7875
10187 4103
