%SeedNode-ID Local_Cluster_Size
3624 799
3063 856
3553 856
5528 801
1338 834
5943 888
2998 888
4471 834
5003 799
681 883
644 888
187 888
4651 876
5396 876
6008 856
1092 856
4389 876
3443 834
4427 799
6659 888
4241 801
905 799
2463 799
6578 801
5894 888
4693 883
3154 876
6937 795
3349 856
3194 834
2255 876
1242 883
605 856
6163 856
5053 843
4937 876
6247 856
4646 834
5318 876
1641 883
6646 856
3255 799
1595 834
5481 876
4101 834
2716 795
1570 843
3282 834
252 834
1433 799
1016 795
4882 843
539 843
2797 795
2603 834
1571 888
5613 883
3187 799
2066 801
1764 799
3808 876
6454 888
7379 801
5279 876
5536 795
1219 876
7515 795
154 856
2513 876
2817 856
6398 795
3900 834
1122 888
5194 801
6673 883
6534 883
4732 799
1097 799
5751 856
4200 834
6391 856
7404 801
6011 883
2406 843
1907 883
5168 799
1668 801
7012 883
2518 799
5111 876
5501 883
2489 843
2926 856
2337 799
604 795
1025 834
2179 795
2678 883
6219 801
1333 795
