%SeedNode-ID Local_Cluster_Size
5188 834
6157 801
6885 888
5063 888
2004 876
4706 801
1270 799
6540 801
5429 888
6171 856
4591 856
4827 876
6823 856
5893 856
3824 876
2698 834
2710 843
4704 856
4601 876
1985 883
4806 876
542 795
4466 888
6706 856
2863 876
7390 801
787 834
7216 795
1198 843
445 799
3314 856
73 834
3571 843
6802 856
2545 888
4385 843
4583 799
3688 799
1704 888
1062 876
5256 843
4207 834
5246 876
1193 801
809 834
5814 856
7169 888
4653 883
6485 856
3997 834
5353 876
462 834
5209 856
7300 888
750 876
5679 843
3905 843
636 856
6908 888
1205 843
3710 799
732 888
4552 834
962 876
2007 883
4164 834
2143 843
3684 801
5042 876
7472 888
5860 843
2491 834
1978 795
2793 834
3381 799
4273 888
1713 801
5338 876
1033 888
1283 883
4369 843
6180 795
3808 876
7110 883
1501 834
1145 876
2728 843
1509 795
2900 801
5547 856
2059 843
4978 883
746 834
1176 834
3111 799
384 801
7345 795
555 883
512 799
5750 834
