%SeedNode-ID Local_Cluster_Size
3780 863
631 858
3271 921
2821 858
3160 858
2983 892
3109 885
4921 863
1393 921
3287 885
701 863
855 863
373 921
1536 777
4331 863
4645 777
2208 885
2366 863
3967 885
1405 892
636 885
4536 777
1499 777
3731 858
1066 777
2009 863
1228 885
3168 921
2865 892
5150 858
3969 885
1935 858
1235 777
4219 858
4112 777
4479 885
4757 777
789 863
5011 777
3793 885
4558 777
4633 863
5092 863
1351 892
2288 921
5014 858
127 892
1014 921
731 885
4325 863
2261 885
1085 863
2284 892
867 921
1566 858
2717 885
779 892
5192 858
3680 777
3419 885
1761 885
4259 863
271 892
3564 921
4001 777
2303 892
399 863
1143 863
1934 885
2761 921
4845 863
2714 885
1116 863
305 921
4987 858
1240 892
2105 892
1773 921
1928 921
1227 921
1855 885
2010 885
2475 892
2599 777
4784 777
2283 858
2454 885
2256 892
5080 858
1650 892
4975 863
2832 863
729 777
938 892
4130 863
3479 885
3944 777
1408 892
2692 858
630 921
